               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022981,           0.0090625,           0.0096687,             0.99824,             0.99951,             0.99487,             0.93452,            0.012815,            0.004246,           0.0050003,             0.00769,             0.00769,             0.00769
                  37,            0.022964,           0.0090021,           0.0096785,             0.99837,              0.9994,             0.99488,             0.93562,            0.012753,           0.0042183,           0.0049514,            0.007624,            0.007624,            0.007624
                  38,            0.022718,           0.0089541,           0.0092258,             0.99852,              0.9996,             0.99488,             0.93574,            0.012661,           0.0042001,           0.0049114,            0.007558,            0.007558,            0.007558
                  39,            0.022626,           0.0089313,           0.0091894,             0.99844,             0.99961,              0.9949,             0.93705,            0.012571,           0.0041756,           0.0048594,            0.007492,            0.007492,            0.007492
                  40,            0.022507,           0.0088489,           0.0090453,             0.99873,             0.99988,              0.9949,             0.93718,              0.0125,           0.0041533,           0.0048111,            0.007426,            0.007426,            0.007426
                  41,            0.022147,           0.0087593,           0.0088802,             0.99875,              0.9999,             0.99492,              0.9379,            0.012447,           0.0041334,            0.004766,             0.00736,             0.00736,             0.00736
                  42,            0.022104,           0.0087243,           0.0089642,             0.99874,             0.99987,             0.99494,             0.93909,            0.012388,           0.0041057,           0.0047244,            0.007294,            0.007294,            0.007294
                  43,            0.022223,           0.0088119,           0.0088723,             0.99876,             0.99987,             0.99495,              0.9401,            0.012351,            0.004094,           0.0046966,            0.007228,            0.007228,            0.007228
                  44,             0.02195,           0.0087472,           0.0089033,             0.99876,             0.99987,             0.99497,             0.94082,            0.012285,           0.0040764,           0.0046653,            0.007162,            0.007162,            0.007162
                  45,            0.021805,           0.0086965,           0.0087839,             0.99879,              0.9999,             0.99497,             0.94126,            0.012241,           0.0040622,           0.0046296,            0.007096,            0.007096,            0.007096
                  46,            0.021879,           0.0087407,            0.008864,             0.99878,             0.99988,             0.99498,             0.94154,            0.012225,           0.0040521,           0.0046031,             0.00703,             0.00703,             0.00703
                  47,            0.021295,           0.0085704,           0.0084065,             0.99879,             0.99994,             0.99499,             0.94214,            0.012187,           0.0040386,           0.0045777,            0.006964,            0.006964,            0.006964
                  48,            0.021447,             0.00852,           0.0081772,             0.99876,             0.99997,             0.99498,             0.94287,            0.012159,           0.0040246,           0.0045551,            0.006898,            0.006898,            0.006898
                  49,            0.021326,           0.0084661,           0.0080453,             0.99876,             0.99996,             0.99499,             0.94363,            0.012123,           0.0040103,           0.0045332,            0.006832,            0.006832,            0.006832
                  50,            0.021164,           0.0084332,           0.0081872,             0.99876,             0.99996,             0.99499,             0.94391,            0.012088,           0.0039986,           0.0045135,            0.006766,            0.006766,            0.006766
                  51,             0.02109,           0.0084453,           0.0079375,             0.99878,             0.99999,             0.99499,               0.944,            0.012067,           0.0039882,           0.0044965,              0.0067,              0.0067,              0.0067
